Tag,Name,Keep
GEO.id,Id,
GEO.id2,Id2,
GEO.display-label,Geography,x
HC01_VC03,Estimate; HOUSEHOLDS BY TYPE - Total households,
HC04_VC101,Percent Margin of Error; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans,
HC01_VC105,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population,
HC02_VC105,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population,
HC03_VC105,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population,x
HC04_VC105,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population,
HC01_VC106,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability,
HC02_VC106,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability,
HC03_VC106,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability,x
HC04_VC106,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability,
HC01_VC108,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years,
HC02_VC108,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years,
HC03_VC108,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years,x
HC04_VC108,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years,
HC01_VC109,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability,
HC02_VC109,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability,
HC03_VC109,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability,x
HC04_VC109,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability,
HC01_VC111,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years,
HC02_VC111,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years,
HC03_VC111,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years,x
HC04_VC111,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years,
HC01_VC112,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability,
HC02_VC112,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability,
HC03_VC112,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability,x
HC04_VC112,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability,
HC01_VC114,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over,
HC02_VC114,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over,
HC03_VC114,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over,x
HC04_VC114,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over,
HC01_VC115,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability,
HC02_VC115,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability,
HC03_VC115,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability,x
HC04_VC115,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability,
HC01_VC119,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over,
HC02_VC119,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over,
HC03_VC119,Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over,
HC04_VC119,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over,
HC01_VC120,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Same house,
HC02_VC120,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Same house,
HC03_VC120,Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Same house,
HC04_VC120,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Same house,
HC01_VC121,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S.,
HC02_VC121,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S.,
HC03_VC121,Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S.,
HC04_VC121,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S.,
HC01_VC122,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Same county,
HC02_VC122,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Same county,
HC03_VC122,Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Same county,
HC04_VC122,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Same county,
HC01_VC123,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county,
HC02_VC123,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county,
HC03_VC123,Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county,
HC04_VC123,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county,
HC01_VC124,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Same state,
HC02_VC124,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Same state,
HC03_VC124,Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Same state,
HC04_VC124,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Same state,
HC01_VC125,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state,
HC02_VC125,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state,
HC03_VC125,Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state,
HC04_VC125,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state,
HC01_VC126,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,
HC02_VC126,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,
HC03_VC126,Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,
HC04_VC126,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,
HC01_VC130,Estimate; PLACE OF BIRTH - Total population,
HC02_VC130,Margin of Error; PLACE OF BIRTH - Total population,
HC03_VC130,Percent; PLACE OF BIRTH - Total population,x
HC04_VC130,Percent Margin of Error; PLACE OF BIRTH - Total population,
HC01_VC131,Estimate; PLACE OF BIRTH - Total population - Native,
HC02_VC131,Margin of Error; PLACE OF BIRTH - Total population - Native,
HC03_VC131,Percent; PLACE OF BIRTH - Total population - Native,x
HC04_VC131,Percent Margin of Error; PLACE OF BIRTH - Total population - Native,
HC01_VC132,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States,
HC02_VC132,Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States,
HC03_VC132,Percent; PLACE OF BIRTH - Total population - Native - Born in United States,x
HC04_VC132,Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States,
HC01_VC133,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence,
HC02_VC133,Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence,
HC03_VC133,Percent; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence,x
HC04_VC133,Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence,
HC01_VC134,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States - Different state,
HC02_VC134,Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - Different state,
HC03_VC134,Percent; PLACE OF BIRTH - Total population - Native - Born in United States - Different state,x
HC04_VC134,Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - Different state,
HC01_VC135,"Estimate; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",
HC02_VC135,"Margin of Error; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",
HC03_VC135,"Percent; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",x
HC04_VC135,"Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",
HC01_VC136,Estimate; PLACE OF BIRTH - Total population - Foreign born,
HC02_VC136,Margin of Error; PLACE OF BIRTH - Total population - Foreign born,
HC03_VC136,Percent; PLACE OF BIRTH - Total population - Foreign born,x
HC04_VC136,Percent Margin of Error; PLACE OF BIRTH - Total population - Foreign born,
HC01_VC140,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population,
HC02_VC140,Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population,
HC03_VC140,Percent; U.S. CITIZENSHIP STATUS - Foreign-born population,x
HC04_VC140,Percent Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population,
HC01_VC141,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen,
HC02_VC141,Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen,
HC03_VC141,Percent; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen,x
HC04_VC141,Percent Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen,
HC01_VC142,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen,
HC02_VC142,Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen,
HC03_VC142,Percent; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen,x
HC04_VC142,Percent Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen,
HC01_VC146,Estimate; YEAR OF ENTRY - Population born outside the United States,
HC02_VC146,Margin of Error; YEAR OF ENTRY - Population born outside the United States,
HC03_VC146,Percent; YEAR OF ENTRY - Population born outside the United States,x
HC04_VC146,Percent Margin of Error; YEAR OF ENTRY - Population born outside the United States,
HC01_VC149,Estimate; YEAR OF ENTRY - Native,
HC02_VC149,Margin of Error; YEAR OF ENTRY - Native,
HC03_VC149,Percent; YEAR OF ENTRY - Native,
HC04_VC149,Percent Margin of Error; YEAR OF ENTRY - Native,
HC01_VC150,Estimate; YEAR OF ENTRY - Native - Entered 2010 or later,
HC02_VC150,Margin of Error; YEAR OF ENTRY - Native - Entered 2010 or later,
HC03_VC150,Percent; YEAR OF ENTRY - Native - Entered 2010 or later,
HC04_VC150,Percent Margin of Error; YEAR OF ENTRY - Native - Entered 2010 or later,
HC01_VC151,Estimate; YEAR OF ENTRY - Native - Entered before 2010,
HC02_VC151,Margin of Error; YEAR OF ENTRY - Native - Entered before 2010,
HC03_VC151,Percent; YEAR OF ENTRY - Native - Entered before 2010,
HC04_VC151,Percent Margin of Error; YEAR OF ENTRY - Native - Entered before 2010,
HC01_VC154,Estimate; YEAR OF ENTRY - Foreign born,
HC02_VC154,Margin of Error; YEAR OF ENTRY - Foreign born,
HC03_VC154,Percent; YEAR OF ENTRY - Foreign born,
HC04_VC154,Percent Margin of Error; YEAR OF ENTRY - Foreign born,
HC01_VC155,Estimate; YEAR OF ENTRY - Foreign born - Entered 2010 or later,
HC02_VC155,Margin of Error; YEAR OF ENTRY - Foreign born - Entered 2010 or later,
HC03_VC155,Percent; YEAR OF ENTRY - Foreign born - Entered 2010 or later,
HC04_VC155,Percent Margin of Error; YEAR OF ENTRY - Foreign born - Entered 2010 or later,
HC01_VC156,Estimate; YEAR OF ENTRY - Foreign born - Entered before 2010,
HC02_VC156,Margin of Error; YEAR OF ENTRY - Foreign born - Entered before 2010,
HC03_VC156,Percent; YEAR OF ENTRY - Foreign born - Entered before 2010,
HC04_VC156,Percent Margin of Error; YEAR OF ENTRY - Foreign born - Entered before 2010,
HC01_VC160,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea",
HC02_VC160,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea",
HC03_VC160,"Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea",x
HC04_VC160,"Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea",
HC01_VC161,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Europe",
HC02_VC161,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Europe",
HC03_VC161,"Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Europe",x
HC04_VC161,"Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Europe",
HC01_VC162,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Asia",
HC02_VC162,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Asia",
HC03_VC162,"Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Asia",x
HC04_VC162,"Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Asia",
HC01_VC163,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Africa",
HC02_VC163,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Africa",
HC03_VC163,"Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Africa",x
HC04_VC163,"Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Africa",
HC01_VC164,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",
HC02_VC164,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",
HC03_VC164,"Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",x
HC04_VC164,"Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",
HC01_VC165,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Latin America",
HC02_VC165,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Latin America",
HC03_VC165,"Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Latin America",x
HC04_VC165,"Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Latin America",
HC01_VC166,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Northern America",
HC02_VC166,"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Northern America",
HC03_VC166,"Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Northern America",x
HC04_VC166,"Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Northern America",
HC01_VC170,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over,
HC02_VC170,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over,
HC03_VC170,Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over,
HC04_VC170,Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over,
HC01_VC171,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - English only,
HC02_VC171,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - English only,
HC03_VC171,Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - English only,
HC04_VC171,Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - English only,
HC01_VC172,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English,
HC02_VC172,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English,
HC03_VC172,Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English,
HC04_VC172,Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English,
HC01_VC173,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English - Speak English less than ""very well""",
HC02_VC173,"Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English - Speak English less than ""very well""",
HC03_VC173,"Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English - Speak English less than ""very well""",
HC04_VC173,"Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English - Speak English less than ""very well""",
HC01_VC174,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish,
HC02_VC174,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish,
HC03_VC174,Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish,
HC04_VC174,Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish,
HC01_VC175,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish - Speak English less than ""very well""",
HC02_VC175,"Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish - Speak English less than ""very well""",
HC03_VC175,"Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish - Speak English less than ""very well""",
HC04_VC175,"Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish - Speak English less than ""very well""",
HC01_VC176,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages,
HC02_VC176,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages,
HC03_VC176,Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages,
HC04_VC176,Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages,
HC01_VC177,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages - Speak English less than ""very well""",
HC02_VC177,"Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages - Speak English less than ""very well""",
HC03_VC177,"Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages - Speak English less than ""very well""",
HC04_VC177,"Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages - Speak English less than ""very well""",
HC01_VC178,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages,
HC02_VC178,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages,
HC03_VC178,Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages,
HC04_VC178,Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages,
HC01_VC179,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages - Speak English less than ""very well""",
HC02_VC179,"Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages - Speak English less than ""very well""",
HC03_VC179,"Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages - Speak English less than ""very well""",
HC04_VC179,"Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages - Speak English less than ""very well""",
HC01_VC180,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages,
HC02_VC180,Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages,
HC03_VC180,Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages,
HC04_VC180,Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages,
HC01_VC181,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages - Speak English less than ""very well""",
HC02_VC181,"Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages - Speak English less than ""very well""",
HC03_VC181,"Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages - Speak English less than ""very well""",
HC04_VC181,"Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages - Speak English less than ""very well""",
HC01_VC216,Estimate; COMPUTERS AND INTERNET USE - Total Households,
HC02_VC216,Margin of Error; COMPUTERS AND INTERNET USE - Total Households,
HC03_VC216,Percent; COMPUTERS AND INTERNET USE - Total Households,
HC04_VC216,Percent Margin of Error; COMPUTERS AND INTERNET USE - Total Households,
HC01_VC217,Estimate; COMPUTERS AND INTERNET USE - Total Households - With a computer,
HC02_VC217,Margin of Error; COMPUTERS AND INTERNET USE - Total Households - With a computer,
HC03_VC217,Percent; COMPUTERS AND INTERNET USE - Total Households - With a computer,
HC04_VC217,Percent Margin of Error; COMPUTERS AND INTERNET USE - Total Households - With a computer,
HC01_VC218,Estimate; COMPUTERS AND INTERNET USE - Total Households - With a broadband Internet subscription,
HC02_VC218,Margin of Error; COMPUTERS AND INTERNET USE - Total Households - With a broadband Internet subscription,
HC03_VC218,Percent; COMPUTERS AND INTERNET USE - Total Households - With a broadband Internet subscription,
HC04_VC218,Percent Margin of Error; COMPUTERS AND INTERNET USE - Total Households - With a broadband Internet subscription,
